"state"	"variable"	"value"
"PENNSYLVANIA"	"1940"	156.275262732417
"RHODE ISLAND"	"1940"	549.23504867872
"SOUTH CAROLINA"	"1940"	29.3375394321767
"SOUTH DAKOTA"	"1940"	21.996879875195
"TENNESSEE"	"1940"	97.4787052810903
"TEXAS"	"1940"	291.066147859922
"UTAH"	"1940"	1723.36956521739
"VERMONT"	"1940"	117.906336088154
"VIRGINIA"	"1940"	144.301470588235
"WASHINGTON"	"1940"	950.862068965517
"WEST VIRGINIA"	"1940"	30.5715783953854
"WISCONSIN"	"1940"	601.399936366529
"WYOMING"	"1940"	260
"ALABAMA"	"1941"	299.655410062026
"ARIZONA"	"1941"	597.755102040816
"ARKANSAS"	"1941"	278.009141696292
"CALIFORNIA"	"1941"	177.919027221224
"COLORADO"	"1941"	687.544483985765
"CONNECTICUT"	"1941"	359.736540664376
"DELAWARE"	"1941"	1306.54545454545
"DISTRICT OF COLUMBIA"	"1941"	494.633507853403
"FLORIDA"	"1941"	468.715914724839
"GEORGIA"	"1941"	300.062912865681
"IDAHO"	"1941"	94.810379241517
"ILLINOIS"	"1941"	627.0794246404
"INDIANA"	"1941"	383.290267011197
"IOWA"	"1941"	188.920112404657
"KANSAS"	"1941"	766.062322946176
"KENTUCKY"	"1941"	621.63597733711
"LOUISIANA"	"1941"	37.8019323671498
"MAINE"	"1941"	518.075117370892
"MARYLAND"	"1941"	387.454260324098
"MASSACHUSETTS"	"1941"	460.628844839371
"MICHIGAN"	"1941"	1118.93274853801
"MINNESOTA"	"1941"	34.8417954378219
"MISSISSIPPI"	"1941"	0
"MISSOURI"	"1941"	170.27027027027
"MONTANA"	"1941"	160.220994475138
"NEBRASKA"	"1941"	33.0974842767296
"NEVADA"	"1941"	275.833333333333
"NEW HAMPSHIRE"	"1941"	196.122448979592
"NEW JERSEY"	"1941"	1028.32628114716
"NEW MEXICO"	"1941"	788.537549407115
"NEW YORK"	"1941"	800.768824903897
"NORTH CAROLINA"	"1941"	668.821398718306
"NORTH DAKOTA"	"1941"	218.861788617886
"OHIO"	"1941"	1176.47312446105
