"","BusStopCode","RoadName","Description","Latitude","Longitude"
"2644","51081","Marymount Rd","Opp Marymount Convent Sch",1.3405549685403,103.838888134721
"2645","51089","Marymount Rd","Bef Marymount Convent Sch",1.34154969745419,103.839625819573
"2646","51091","PIE","Opp Catholic JC",1.32648060854916,103.834018707306
"2647","51099","Whitley Rd","Catholic JC",1.325881667006,103.834534216188
"2648","51101","PIE","Old Police Academy",1.32753637537789,103.83724817699
"2649","51109","Whitley Rd","Opp Old Police Academy",1.32709277800856,103.839708055974
"2650","51111","Lornie Rd","Opp Andrew Rd",1.34064833298154,103.832713333023
"2651","51119","Lornie Rd","Bef Andrew Rd",1.34014305601694,103.832575832987
"2652","51131","Braddell Rd","Opp Braddell View",1.34409261817375,103.839347726411
"2653","51139","Braddell Rd","Braddell View",1.34436688449065,103.84032264967
"2654","52008","Lor 6 Toa Payoh","Toa Payoh Int",1.33205209189774,103.846915212557
"2655","52009","Lor 6 Toa Payoh","Toa Payoh Int",1.33202083385749,103.846927635249
"2656","52011","Braddell Rd","Bef Bishan Rd",1.34504127313408,103.842634017717
"2657","52019","Braddell Rd","Aft Bishan Rd",1.34403333300249,103.843681667013
"2658","52021","Braddell Rd","Opp Blk 1004",1.34431313758435,103.847660881395
"2659","52029","Braddell Rd","Blk 1004",1.34359918269745,103.847365379316
"2660","52031","Braddell Rd","Opp Blk 998",1.34404852974216,103.850261556313
"2661","52039","Braddell Rd","Aft Muhajirin Mque",1.34333817728421,103.851303100243
"2662","52049","Jln Tenteram","Blk 19",1.32721151783698,103.85978762052
"2663","52051","Braddell Rd","Blk 147",1.34338820709349,103.854692572458
"2664","52059","Braddell Rd","Blk 219",1.34309745890513,103.856225857985
"2665","52061","Braddell Rd","BCA Academy",1.34354315540656,103.858686443474
"2666","52069","Braddell Rd","Comfortdelgro Corp Ltd",1.34312724365345,103.858480453515
"2667","52071","Jln Toa Payoh","Trellis Twrs",1.32991416932901,103.843818432243
"2668","52079","Jln Toa Payoh","Opp Trellis Twrs",1.32931477158443,103.843828857357
"2669","52081","Jln Toa Payoh","Aft Blk 195",1.33081389290944,103.860840797424
"2670","52089","Jln Toa Payoh","Opp Blk 195",1.32991690265608,103.860273688423
"2671","52099","Kim Keat Rd","Opp NKF",1.32652328466497,103.854889050752
"2672","52109","Jln Bahagia","Bet Blks 33/34",1.32697666701265,103.858171111021
"2673","52119","Jln Tenteram","Opp Blk 65",1.32782675894568,103.858107620542
"2674","52129","Jln Bahagia","Blk 29",1.32544666698102,103.859381111008
"2675","52131","Lor 1 Toa Payoh","Blk 163",1.33226500001796,103.844117499979
