"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"WEST MIDLANDS",324110,12589,201506,2833600,114,4
"WEST SUSSEX",211948,7904,201506,836300,253,9
"WEST YORKSHIRE",430876,19356,201506,2281700,189,8
"WILTSHIRE",164971,6707,201506,703300,235,10
"WORCESTERSHIRE",104452,4193,201506,578600,181,7
"BEDFORDSHIRE",105528,4138,201507,655000,161,6
"BERKSHIRE",190417,7267,201507,890600,214,8
"BRISTOL",54143,2250,201507,449300,121,5
"BUCKINGHAMSHIRE",85897,3008,201507,790200,109,4
"CAMBRIDGESHIRE",157571,6798,201507,841200,187,8
"CHESHIRE",430099,17671,201507,1043500,412,17
"CORNWALL",166913,6971,201507,551700,303,13
"CUMBRIA",196521,8135,201507,498000,395,16
"DERBYSHIRE",230134,8881,201507,1036600,222,9
"DEVON",358141,14915,201507,1169200,306,13
"DORSET",185533,6594,201507,765700,242,9
"DURHAM",340442,16715,201507,855900,398,20
"EAST RIDING OF YORKSHIRE",48316,1889,201507,595700,81,3
"EAST SUSSEX",259965,10992,201507,829300,313,13
"ESSEX",458383,18937,201507,1787000,257,11
"GLOUCESTERSHIRE",131915,5859,201507,891800,148,7
"GREATER MANCHESTER",222460,9104,201507,2756200,81,3
"HAMPSHIRE",511702,18727,201507,1814300,282,10
"HEREFORDSHIRE",40369,1552,201507,188100,215,8
"HERTFORDSHIRE",208042,8430,201507,1166300,178,7
"ISLE OF WIGHT",36012,1319,201507,139400,258,9
"KENT",481931,18489,201507,1801200,268,10
"LANCASHIRE",720661,29075,201507,1478100,488,20
"LEICESTERSHIRE",167365,6581,201507,1017900,164,6
"LINCOLNSHIRE",275403,12662,201507,1066100,258,12
"LONDON",925007,38040,201507,8665000,107,4
"MERSEYSIDE",320869,13223,201507,1398000,230,9
"NORFOLK",260135,11624,201507,885000,294,13
"NORTH YORKSHIRE",269799,11071,201507,1140400,237,10
"NORTHAMPTONSHIRE",146286,6030,201507,723000,202,8
"NORTHUMBERLAND",92491,4583,201507,315300,293,15
"NOTTINGHAMSHIRE",134734,5049,201507,1124700,120,4
"OXFORDSHIRE",100883,3882,201507,677800,149,6
"RUTLAND",1365,58,201507,38000,36,2
"SHROPSHIRE",122765,4323,201507,482500,254,9
"SOMERSET",241358,9481,201507,940200,257,10
"SOUTH YORKSHIRE",402580,16775,201507,1374700,293,12
"STAFFORDSHIRE",254274,9827,201507,1114200,228,9
"SUFFOLK",251166,9414,201507,741900,339,13
"SURREY",356505,13872,201507,1168800,305,12
"TYNE AND WEAR",355453,19319,201507,1122200,317,17
"WARWICKSHIRE",98170,3724,201507,554000,177,7
"WEST MIDLANDS",335973,13110,201507,2833600,119,5
"WEST SUSSEX",223120,8296,201507,836300,267,10
"WEST YORKSHIRE",452817,20358,201507,2281700,198,9
"WILTSHIRE",170145,7008,201507,703300,242,10
"WORCESTERSHIRE",100378,4157,201507,578600,173,7
"BEDFORDSHIRE",97930,3781,201508,655000,150,6
"BERKSHIRE",174153,6726,201508,890600,196,8
"BRISTOL",48347,1997,201508,449300,108,4
"BUCKINGHAMSHIRE",74860,2618,201508,790200,95,3
"CAMBRIDGESHIRE",143363,6152,201508,841200,170,7
"CHESHIRE",383874,15908,201508,1043500,368,15
"CORNWALL",153808,6411,201508,551700,279,12
"CUMBRIA",186693,7621,201508,498000,375,15
"DERBYSHIRE",206869,7911,201508,1036600,200,8
"DEVON",340773,14210,201508,1169200,291,12
